abandon,放弃+放纵
erupt,爆发+喷出(熔岩、水、气体、泥浆等)
escalate,(战争等)升级+扩大+上升
escalation,逐步上升+逐步增强
escapism,逃避现实(的习气)
eschew,避开+戒绝
esophagus,食道+食管
esoteric,秘传的+神秘的
espionage,间谍活动
espousal,拥护+支持
espouse,支持+拥护
espy,(从远处等)突然看到
essential,本质的+要素+实质
estimable,值得尊敬的+可估计的
estranged,疏远的+分开的+分离的
etch,蚀刻)+铭记
etching,蚀刻术+蚀刻板画
eternal,永久的+永恒的
ethereal,太空+轻巧的
ethics,伦理学+道德规范
ethnic,种族的
ethnology,人种学+人类文化学
ethos,(个人、团体或民族)道德风貌+思潮+信仰
etiquette,礼仪+礼节
etymology,语源学
eucalyptus,桉树
eulogistic,颂扬的+歌功颂德的
eulogize,称赞+颂扬
eulogy,颂词+颂文
euphemism,婉言+委婉的说法
euphonious,悦耳的
euphoria,幸福愉快感
evacuate,撤退+撤离
evade,逃避+规避
evaluation,评价+评估
evanescent,迅速消失的+短暂的
evaporate,(使某物)蒸发掉
evasion,躲避+借口
evasive,迥避的+逃避的+托辞的
even,平的
evenhanded,公平的+不偏不倚的
evict,(依法)驱逐
eviction,(对房客或佃户的)驱逐
evince,表明+表示
evocative,唤起的+激起的
evoke,引起+唤起
evolve,使逐渐形成+进化
ewe,母羊
ewer,大口水罐
exacerbate,加重+恶化
exact,精确的+强求+强索付款
exacting,苛求的+要求严格的
exactitude,极端的正确性或精确性
exaggerate,夸张+夸大
exaggeration,夸张
exalt,(高度)赞扬+歌颂
exaltation,(成功带来的)得意+高兴
exasperate,激怒+使恼怒
excavate,挖掘+挖出
exceed,超过+超出
excel,善于+擅长于
exceptional,特别(好)的
excess,过分+过度
excise,切除+删去
excitability,易兴奋性+易激动性
exclaim,惊叫+呼喊
exclamation,惊叹词+惊呼
exclude,排斥+排除
exclusive,(人)孤僻的+(物)专用的
excoriate,撕去皮+严厉批评
excrete,排泄+分泌
exculpate,开脱+申明无罪
excursion,短途旅游
excursive,离题的+随意的
execrable,极坏的
execrate,憎恶+咒骂
execute,执行+履行+将某人处死
exemplary,可作楷模的
exemplify,是…的典型
exempt,被免除的+使免除
exert,运用(力量等)
exhale,呼出(气)
exhaust,(机器排出的)废气+蒸气+使非常疲倦
exhaustive,彻底的+无遗漏的
exhilarate,使高兴
exhilaration,高兴+活跃
exhort,力劝+勉励
exigent,需要立即采取行动的
existential,有关存在的+存在主义的
exodus,大批离去+成群外出
exonerate,免除责任+确定无罪
exorbitant,过分的+过度的
exorcise,驱魔+去除(坏念头等)
exotic,珍奇的+来自异国的
expand,扩大+膨胀
expansive,(指人)健谈的+开朗的+可扩大的+可伸展的
expediency,方便+权宜之计
expedient,权宜之计+临时手段+(指行动)有用的
expeditious,迅速的+敏捷的
expel,排出+开除
expend,花费+用光
expenditure,消耗+支出
expertise,专门技术+专业知识
expiate,赎罪+补偿
expiration,期满+终止
expire,期满+去世
explicate,详细解说
explicit,清楚明确的
exploit,剥削+开发利用+英勇行为
explosive,炸药+爆炸性的+使人冲动的
exponent,说明者+支持者+指数
exponentially,ad指数地+迅速增长地
exposition,阐释+博览会
expository,说明的
expostulate,(对人或行为进行)抗议+告诫
exposure,暴露+显露+曝光
expound,解释+阐述
expressly,ad清楚地+特意地
expunge,删除
expurgate,删除+使纯洁
exquisite,精致的+近乎完美的
extant,现存的+传世的
extemporaneous,即席的+没有准备的
extemporize,即席演说
extend,延展+延长
extenuate,掩饰(罪行)+减轻罪过
exterminate,消灭+灭绝
externalize,使…表面化
extinct,绝种的+不存在的
extinction,熄灭+消灭
extinguish,使…熄灭+使…不复存在
extirpation,根除+铲除
extol,赞美
extort,强索+敲诈
extract,拔出+强索
extraneous,外来的+无关的
extrapolate,预测+推测
extravagance,奢侈+挥霍
extremist,极端主义者
extricable,可解救的+能脱险的
extricate,拯救+救出
extrovert,性格外向者
exuberance,愉快+茁壮
exuberant,(人)充满活力的(植物)茂盛的
exude,使慢慢流出+四溢
exult,欢腾+喜悦
fabric,纺织品+结构
fabricate,捏造+制造
facade, 建筑物的正面+(虚伪)外表
facet,(宝石等的)小平面+侧面
facetious,轻浮的+好开玩笑的
facile,容易做的+肤浅的
facilitate,使容易+促进
facilities,(使事情便利的)设备、工具
faction,派系+派系斗争
factorable,能分解成因子的
factotum,杂役+听差
factual,真实的+事实的
faculty,全体教员+官能
fad,(流行一时的)狂热+时尚
faddish,流行一时的+时尚的
fade,褪色+消失+凋谢
falcon,猎鹰+隼
fallacious,欺骗的+谬误的
fallacy,谬误+错误
fallibility,易于出错+出错性
fallible,会犯错的+易犯错的
fallow,休耕地+(土地)休耕的
falsehood,谎言
falter,摇晃+蹒跚+支吾地说
familiarity,精通+亲近+不拘礼仪
famine,饥荒
famish,使饥饿
fanatic,狂热者
fang,(毒蛇的)尖牙
fantasy,想象+幻想
farce,闹剧+荒谬胡闹
farewell,interj.再会+再见+辞行+告别
far-reaching,影响深远的
fast,绝食+斋戒+ad很快地+紧紧地
fasten,使…固定(to fix sth. firmly)
fastidious,难取悦的+挑剔的
fastness,要塞+城堡
fatal,致命的+灾难性的
fathom,英寻(量水深用+相当于1.83米)+彻底明白+了解
fatigue,疲乏+劳累
fatten,使长肥+使土壤肥沃+装满
fatuity,愚蠢+愚昧
fatuous,愚昧而不自知的
faucet,水龙头
fault,错误+(地质学)断层
faultfinder,喜欢挑剔的人
favorable,有利的+赞成的
fawn,未满周岁的小鹿+巴结+奉承
faze,使…狼狈+折磨
feasible,可行的+可能的
feat,功绩+壮举
feature,特色+特点+特征
feckless,无目标无计划的
fecundity,多产+富饶+繁殖力+生殖力
feeble,虚弱的
feedback,(信息的)反馈
feign,假装+伪装
feigned,假装的+不真诚的
feint,佯攻+佯击
felicitous,(话语等)适当的+得体的
fell,兽皮+砍伐+凶猛的+可怕的
felon,重罪犯
felony,重罪
feminist,女权运动者
fender,挡泥板+护舷的垫子等
feral,凶猛的+野的
ferment,(使)发酵+骚动
fermentation,发酵
fern,羊齿植物+蕨
ferret,雪貂+用雪貂猎取+搜寻
ferrous,含铁的
fertile,多产的+肥沃的
fertilize,受精+受粉+施肥
fertilizer,肥料+化肥
fervid,炽热的+热情的
fervor,热诚+热心
fester,(指伤口)溃烂+化脓
festive,欢乐的
fetid,有恶臭的
fetter,(带)脚镣+束缚
fetus,胎儿
feud,宿怨+不和
fiasco,大失败+惨败
fiat,命令
fickle,(爱情或友谊上)易变的+不坚定的
fictitious,假的+虚构的
fidget,坐立不安+烦躁之人
fig,无花果+一点儿
figment,虚构的东西
figurative,比喻的+借喻的
figurehead,名义领袖+傀儡
figurine,小塑像+小雕像
file,锉刀+锉平
filibuster,妨碍议事+阻挠
filigree,金银丝做的工艺品
filings,锉屑
filly,小母马
filter,滤纸+过滤
filth,肮脏+粗语
finale,最后+最终+乐曲的最后部分
finesse,技巧+计谋+手段
finicky,苛求的+过分讲究的
finite,有限的
firearm,(便携式)枪支
firefly,萤火虫
fiscal,国库的+财政的
fissure,裂缝+裂隙
fixate,使固定+使不变+注视+凝视
flaccid,松弛的+软弱的
flag,减弱+衰退+枯萎
flagging,下垂的+衰弱的
flaggy,枯萎的+松软无力的
flagrant,臭的+恶名昭彰的
flail,连枷(打谷工具)+打+打击
flak,高射炮+指责
flamboyant,艳丽的+炫耀的
flammable,易燃的
flange,(火车车轮的)凸缘+轮缘
flare,(火焰)摇曳+闪耀
flask,烧瓶+细颈瓶
flatcar,平台型铁路货车
flatten,变平+彻底打败某人
flatter,恭维+奉承
flaunt,炫耀+张扬
flaunty,炫耀的+张扬的
flaw,瑕疵+生裂缝+有瑕疵
flax,亚麻
fledge,小鸟长飞羽+变得羽毛丰满
fledgling,正在学习飞行的幼鸟+无经验的人
fleeting,短暂的+飞逝的
flexible,易弯曲的+灵活的
flight,飞行+飞翔+逃跑
flimsy,轻而薄的+脆弱的
flinch,畏缩+退缩
flint,打火石+燧石
flip,用指轻弹+蹦跳+无礼的
flippant,无礼的+轻率的
flirt,挑逗+调戏
flit,掠过+迅速飞过
flock,羊群+鸟群
floodgate,(水闸的)闸门
flora,(某地区或时代的)植物群
florid,华丽的+(脸)红润的
flounder,挣扎+艰苦地移动+比目鱼
flourish,昌盛+兴旺+活跃而有影响
flout,蔑视+违抗
fluctuate,波动+变化
fluffy,有绒毛的+空洞的
fluke,侥幸+意想不到的事
fluorescent,萤光的+发光的
flush,脸红+奔流+冲洗
flustered,慌张的
flutter,拍翅
fluvial,河流的+生长在河中的
flux,不断的变动+动荡不定
foible,小缺点+小毛病
foil,钝剑+箔+锡箔纸
fold,羊栏+畜栏+折叠
folder,文件夹+纸夹
foliage,叶子(总称)
folklore,民间传说+民俗学
folly,愚蠢+愚蠢的行为+思想或做法
foment,煽动+助长(坏事)
foodstuff,食料+食品
foolproof,容易懂的+简易而不会误用的
foppish,浮华的+俗丽的
forage,(牛马的)饲料+粮草+搜寻+翻寻
forager,强征(粮食)者+抢劫者+粮草征发员+成散开横队的骑兵
forbearance,自制+忍耐
forbid,不许+禁止+妨碍+阻止
forbidding,(表情)冷峻的+形势险恶的
ford,浅滩+水浅可涉处+涉水
forebode,预感+凶兆
forecast,预报+预测+预测
foreknowledge,预知
forerunner,预兆+前兆+先驱
foreshadow,预示
foresight,远见+深谋远虑
forestall,先发制人+预先阻止
forestry,森林学+林产+林地
forfeit,丧失+被罚没收+丧失物
forge,铁匠铺+锤炼+伪造
forger,伪造者+打铁匠
forgery,伪造(物)
forgo,放弃+抛弃
formality,遵循的规范+拘泥形式+正式
formation,组织+形成+(军队)编队
formidable,可怕的+困难的
formula,分子式+公式+套语+惯用语
forsake,遗弃+放弃
forte,长处+擅长+(音乐)强音的
forthright,直率的
fortify,加强防卫
fortitude,坚毅+坚韧不拔
fortuitous,偶然的+意外的+幸运的
forum,辩论的场所+讲坛
forward,过激的+莽撞的
fosse,护城河
fossilize,使…成为化石+使…过时
foster,培养+鼓励+领养
foul,恶臭的+邪恶的+弄脏+(体育等)犯规
founder,(船)沉没+(计划)失败
four-poster,有四柱的床
foyer,门厅+休息室
fracas,喧嚷+吵闹
fraction,碎片+小部分
fractious,(脾气)易怒的+好争吵的
fracture,骨折+折断+裂口
fragile,易碎的+易坏的
fragment,碎片+分裂
fragrance,香料+香味
fragrant,芳香的+愉快的
frail,脆弱的+不坚实的
frantic,疯狂的+狂乱的
fraud,欺诈+欺骗+骗子
fraudulent,欺骗的+不诚实的
fraught,充满…的
freckle,雀斑+斑点
freelancer,自由职业者
freight,货物+装货于(船等)
frenetic,狂乱的+发狂的
frenzy,极度激动的状态+狂暴
frequency,频率
frequent,时常来访+惯常的
fresco,壁画
fret,(使)烦躁+焦虑
friable,易碎的
friction,摩擦+矛盾+冲突
frieze,(在墙顶与天花板间起装饰作用的)横条+饰带
frigid,寒冷的+死板的
frigidity,寒冷+冷淡
fringe,(窗帘等)须边+边缘
frisky,活泼的+快活的
frivolous,轻薄的+轻佻的
frond,羊齿、棕榈等的叶子
frothy,起泡的+空洞的
frugal,节约的+节俭的
fruition,实现+完成
frustrate,挫折+使沮丧
fulcrum,杠杆支点+支柱
fulfil,履行+满足+符合
full-blown,(鲜花)盛开的
full-bodied,(味道等)浓郁而强烈的
full-fledged,羽毛丰满的+成熟的
fulminate,猛烈抨击+严厉谴责
fulsome,虚情假意的+充足的
fumble,摸索+笨拙搜寻+弄乱+搞糟
fume,愤怒+冒烟
fumigate,以烟熏消毒
functional,起作用的+能运转的+实用的
functionary,小官+低级公务员
fundamental,最根本的+基本的+十分重要的
fungi,菌类+蘑菇
fungicide,杀真菌剂
furnace,锅炉
furor,轰动+盛怒
furrow,犁沟+皱纹
furtive, 偷偷的+秘密的
fusillade, (枪炮)齐射+连发
fusion,熔合+聚变
fuss,大惊小怪
fussy,爱挑剔的
fusty,陈腐的+霉臭的
futile,无效的+无用的;（人）没出息的+琐细的
futility,无用+无益
gadfly,虻+牛虻+讨厌的人
gadget,小工具+小机械
gaffe,(社交上令人不快的)失言+失态
gaggle,鹅群
gainsay,否认
gait,步法+步态
galaxy,(银河)星群+显赫的人群
gall,胆汁+怨恨
gallant,勇敢的+(向女人)献殷勤的
galley,船上的厨房
gallon,加仑
galvanize,电镀+通电+激励
gamble,赌博+孤注一掷
gambol,雀跃+嬉戏
gangway,(上下船的)跳板
gape,裂开+目瞪口呆地凝视
garble,曲解+窜改
garbled,引起误解的+窜改的
gardenia,栀子花
gargantuan,巨大的+庞大的
gargoyle,(雕刻成怪兽状的)滴水嘴+面貌丑恶的人
garish,俗丽的+过于艳丽的
garment,衣服
garner,收藏+积累
garnish,装饰
garrulity,唠叨+饶舌
garrulous,唠叨的+多话的
gaseous,似气体的
gash,深长的伤口+裂缝
gasification,气化
gaucherie,笨拙
gaudy,俗丽的
gauge,标准规格+测量仪+测量
gavel,(法官所用的)槌+小木槌
gaze,凝视+注视
gazetteer,地名词典+地名表
gear,齿轮+装备+仪器
gem,宝石+珠宝+精华
gene,基因
genealogy,家谱学
generality,概述
generalize,归纳
generate,造成+产生
generation,一代人+(产品类型的)代+产生+发生
generator,发电机
generic,种类的+类属的
generosity,慷慨+大方
genesis,创始+起源
genetic,遗传的+起源的
genetics,遗传学
genial,愉快的+脾气好的
genome,基因组+染色体组
genre,(文艺的)类型
genteel,上流社会的+装作彬彬有礼的
gentle,温和的+慈祥的
gentry,绅士+上等人
genuine,真的+真诚的
genus,(动植物的)属
geometrician,几何学家
germ,胚芽+芽孢+微生物+细菌
germane,有密切关系的+贴切的
germicide,杀菌剂
germinate,发芽+发展
gerontocracy,老人统治的政府
gerontology,老人病学
gerrymander,(为使某政党在选举中取得优势)不公正地将(某地区)划成选区
gesture,姿势+手势+姿态
geyser,天然热喷泉
gibe,嘲弄+讥笑
giddy,轻浮的+不严肃的
giggle,咯咯笑
gild,镀金+虚饰
gimmick,吸引人的花招+噱头
ginger,姜+活力
gingerly,adj.ad小心的(地)+谨慎的(地)
girder,大梁
girth,腰身+周长
gist,要点+要旨
glacial,冰期的+冰河期的+寒冷的
glade,林中的空地
gladiator,角斗士+与野兽搏斗者
glance,一瞥
glare,发出眩目光芒+怒目而视
glaze,装玻璃于+上釉彩+釉
glean,拾落穗+收集(材料等)
glib,流利圆滑的+善辩的
glide,滑行+滑动
glimmer,发微光+摇曳的微光
glisten,闪烁+闪耀
glitch,小故障
gloat,幸灾乐祸地看+窃喜
gloom,黑暗+忧郁
gloomy,阴暗的+没有希望的+阴郁的
gloss,光泽+注解
glossary,词汇表+难词表
glossy,光泽的+光滑的
glow,光亮+发热+(脸)红
glower,怒目而视
glowing,热情赞扬的
glucose,葡萄糖
glut,过多+供过于求
glutinous,粘的+胶状的
gluttonous,贪吃的+贪嘴的
gnarled,(树木)多节的+粗糙的
gnaw,啃+咬
goad,赶牛棒+刺激+激励
gobble,贪婪地吃+吞没
goblet,高脚酒杯
goldbrick,逃避责任+偷懒
gong,锣
goodwill,友好
gorge,峡谷
gorilla,大猩猩
gospel,教义+信条
gossamer,蛛丝+薄纱+轻而薄的
gouge,半圆凿+挖出+敲竹杠
gourmand,嗜食者
gourmet,美食家
grace,优美
gracious,大方的+和善的+奢华的
gradation,渐变+阶段+等级
graduated,按等级(高度+困难等)分的
graft,嫁接+贪污
grain,谷物+小的硬粒
grandeur,壮丽+伟大
grandiose,宏伟的+夸大的
grandstand,大看台+哗众取宠
granite,花岗石
grant,同意给予
graphic,图表的+生动的
graphite,石墨
grasping,贪心的+贪婪的
grate,发出“吱嘎”声+磨碎+使人烦躁
grateful,感激的
gratification,满足+喜悦
gratify,使高兴+使满足
grating,(声音)刺耳的+恼人的
gratitude,感激
gratuitous,无缘无故的+免费的
gratuity,赏钱+小费
grave,严峻的+墓穴
gravel,碎石+砂砾
gravitational,万有引力的
gravity,严肃+正经
graze,(动物)吃(地上长的)草+放牧
grease,(炼出的)动物油脂+滑脂
green,新鲜的+未成熟的+无经验的
greenhouse,花房+温室
gregarious,群居的+爱社交的
gregariousness,群居+合群
grenade,手榴弹
grief,忧伤+悲伤
grievance,委屈+抱怨
grieve,使某人极为悲伤
grievous,严重伤害的
grill,烤+拷问+烤架
grim,冷酷的+可怕的
grimace,做鬼脸+面部歪扭
grin,露齿而笑
grind,枯燥乏味的工作+磨碎+碾碎
gripe,抱怨
gripping,紧紧抓住注意力的
grisly,恐怖的+可怕的
gristle,软骨+肉中难吃的硬组织
grit,沙粒+决心+勇气+下定决心+咬紧牙关
groan,呻吟+叹息
groom,马夫+新郎
groove,凹线+(刻出的)线条+习惯
grope,摸索+探索
gross,总的+粗野的+整个+全部
grotto,洞穴
grouch,牢骚+不满
grounded,有理由的+ad地面上
group,使…集合+群+集
grouse,松鸡+牢骚+诉苦
grove,小树林+树丛
grovel,摇尾乞怜+奴颜婢膝
grueling,繁重而累人的
grumble,喃喃诉苦+发怨言
guarantee,保证+担保
guffaw,哄笑+大笑
guile,欺诈+狡猾
guileless,厚道的+老实的
guillotine,断头台
guilt,罪行+内疚
guilty,有罪的
guise,外观+装束
gullible,易受骗的
gully,雨水冲成的沟壑
gulp,吞食+咽下
gum,树胶+橡皮
guru,古鲁(印度的宗教领袖)+(受尊敬的)教师或权威
gush,涌出+滔滔不绝地说
gusher,滔滔不绝的说话者+喷油井
gust,阵风+一阵(情绪)
gustation,品尝+味觉
gustatory,味觉的+品尝的
gutter,水槽+街沟
guy,(铁塔等的)支索+牵索
guzzle,大吃大喝
gyrate,旋转的+旋转
habitat,自然环境+栖息地
habituate,使习惯于
hack,乱劈+乱砍+雇佣文人
hackneyed,陈腐的+平常的
hail,冰雹+致敬
halcyon,平静的+愉快的
hale,健壮的+矍铄的
halfhearted,不认真的+不热心的
hallmark,(在金银上的)纯度印记+特征
hallow,把…视为神圣+尊敬
hallowed,神圣的
hallucination,幻觉+幻视
halo,(日、月等)晕+神像之光环
halting,踌躇的+吞吞吐吐的
hammer,锤子+槌
hamper,妨碍+阻挠+有盖提篮
handle,柄+把手+处理
hangar,飞机库
hangdog,忧愁的+低贱的
hankering,渴望
haphazard,任意的
harangue,长篇指责性演说
harass,侵扰+烦忧
harbinger,先驱+先兆
harbor,港+避难所+包庇+隐匿
harden,变硬+变坚强
hardheaded,(商业上)现实的+精明的
hardy,耐寒的+强壮的
harmony,相符+一致+协调+匀称
harness,马具+束以马具+利用
harp,竖琴+喋喋不休地说或写
harpsichord,键琴(钢琴前身)
harridan,凶恶的老妇+老巫婆
harrow,耙+使痛苦
harrowing,悲痛的+难受的
harry,掠夺+袭扰+折磨
harsh,严厉的+粗糙的+刺耳的
harshly,ad严酷地+无情地
hasten,催促+促进
hasty,急急忙忙的
hatch,船舱盖+孵化
haughty,傲慢的+自大的
haunt,常去+鬼魂出没+(事情)萦绕心头+常去的地方
hauteur,傲慢
haven,安息所+避难所
havoc,大破坏+混乱
hawk,隼+鹰
hazard,危险
hazardous,危险的
headlong,adj.ad轻率的(地)+迅猛的(地)
headstrong,刚愎自用的
headway,进步+进展
heal,治愈
hearken,倾听
hearten,鼓励+激励
heartrending,令人心碎的
heavy-handedness,笨拙+粗劣
heckle,诘问+困扰
hectic,兴奋的+繁忙的
hector,凌辱+威吓
hedge,树篱+限制
hedonist,享乐主义者
heed,注意+留心+关心
hegemony,霸权+领导权
heinous,十恶不赦的
heir,继承人
heirloom,传家宝
helmet,头盔+钢盔
hem,包围+袖边+边缘+interj.吞吞吐吐地说
hemisphere,半球
hemophilia,血友病+出血不止
hemorrhage,出血(尤指大出血)
hemostat,止血器+止血剂
herbaceous,草本植物的
herbicide,除草剂
herbivorous,食草的
herd,兽群+聚集
hereditary,祖传的+世袭的
heresy,异端邪说
heretic,异教徒
heretical,异端邪说的
hermetic,密封的+深奥的
hermit,隐士+修道者
herpetologist,爬行动物学家
heterodox,异端的+非正统的
heterogeneous,异类的+不同的
hew,砍伐+遵守
hexagon,六角形+六边形
hiatus,空隙+裂缝
hibernate,冬眠+蛰伏
hide,兽皮
hidebound,顽固的+心胸狭窄的
hideous,讨厌的+丑恶的
hie,疾走+催促
hierarchy,阶层+等级制度
hieroglyph,象形文字+图画文字
hieroglyphic,象形文字
highbrow,自以为文化修养很高的人
hike,高涨+上升+徒步旅行
hilarious,充满欢乐的+引起大笑的
hinder,阻碍+妨碍
hinge,铰链+关键
hirsute,多毛的
hiss,作嘘声+(蛇等)发出嘶嘶声
histology,细胞组织学
histrionic,演戏的+剧院的
hitherto,ad到目前为止
hive,蜂房+忙碌之地
hoard,贮藏+秘藏
hoary,(头发)灰白的+古老的
hoax,骗局+欺骗
hodgepodge,混淆+杂菜
hoe,锄头
hoist,吊高+升起+起重机
hold,(船)货舱
holster,手枪皮套
homage,效忠+崇敬
homeostasis,体内平衡
homiletics,讲道术+说教术
homogeneity,同种+同质
homogeneous,同类的+相似的
homogenize,使均匀+使一致
hone,磨刀石+磨刀
honorarium,酬劳金+谢礼
hoodwink,蒙混+欺骗
hoof,(牛马的)蹄
hoop,(桶之)箍+铁环
horizontal,水平的
hormone,荷尔蒙+激素
horn,角+角质+喇叭
horrific,可怕的
hortative,激励的
horticulture,园艺学
hospitable,豁达的
hostile,敌对的+敌意的
hostility,敌对+不友好+憎恨
hovel,茅舍+肮脏的小屋
hover,翱翔+(人)徘徊
hub,轴心+中心
hubris,过分自傲+目中无人
huckster,叫卖小贩+零售商
hue,色彩+色泽
hulk,废船+船壳+笨重之人或物
hull,外壳+荚+船身+剥去外壳
humane,人道的+慈悲的
humble,卑微的+使谦卑
humdrum,单调的+乏味的
humid,湿润的
humidity,湿度+湿气
humiliate,使屈辱
humility,谦逊+谦恭
humor,纵容+迁就
hunch,直觉+预感
hurdle,跳栏+障碍+克服(障碍)
hurl,猛投+大声叫骂
hurricane,飓风
husband,妥善而又节约地管理+做…的丈夫
husbandry,耕种+务农+节敛管理
hush,肃静+安静
husk,外壳+皮+荚
husky,声音沙哑的
hybrid,杂种+混血人
hydrant,(消防)水龙头+消防栓
hydrate,水化物+水化
hymn,赞美诗
hyperactivity,活动过强+极度亢奋
hyperbole,夸张法+夸张的
hypertension,高血压
hyphen,连字号(即“-”)
hypnotic,催眠的+催眠药
hypocrite,伪善者+伪君子
hypocritical,虚伪的
hypotenuse,(直角三角形的)斜边
hypothesis,假设+假说
hypothetical,假设的
hysteria,歇斯底里症
icicle,冰柱+冰垂
icon,圣像+偶像
iconoclast,攻击传统观念或风俗的人
iconoclastic,对传统观念(或惯例)进行攻击的
ideology,思想体系+思想意识+意识形态
idiom,习语+语言的习惯用法+特色
idle,(指人)无所事事的+无效的+懒散+无所事事
idolater,神像(偶像)崇拜者
idyll,田园生活+田园诗
igneous,火的+火绒的
ignite,发光+点燃+燃烧
ignoble,卑鄙的
ignominious,可耻的+耻辱的
ignominy,羞耻+屈辱
ignorant,无知的+愚昧的
illegal,违法的
illegitimate,不合法的+私生的
illicit,违法的
illiterate,文盲的
illuminate,阐明+解释+照亮
illuminati,先觉者+智者
illusion,假象+错觉
illusive,迷惑人的+迷幻的
illusory,虚幻的
illustrate,为…作插图或图表+说明+阐明
imbibe,饮+吸入
imbroglio,纠纷+纠葛
imbue,灌输(某人)强烈的情感或意见
imitation,赝品+效法+冒充
imitative,模仿的
immaculate,洁净的+无瑕的
immanent,内在的+普遍存在的
immemorial,太古的+极古的
immense,极大的+无限的
immensity,巨大之物+无限
immerse,浸入+沉浸于
imminent,即将发生的+逼近的
immolate,牺牲+焚祭
immune,免疫的+免除的
immunity,免疫+豁免
immunize,使免疫
immure,监禁
imp,小鬼+顽童
impact,冲击+影响
impair,损害+使弱
impale,刺入+刺中
impalpable,无法触及的+不易理解的
impart,传授+告知
impartial,公平的+无私的
impasse,僵局+死路
impassioned,慷慨激昂的
impassive,无动于衷的+冷漠的
impeach,指责+弹劾
impeccable,无瑕疵的
impecunious,不名一文的+贫困的
impede,妨碍
impediment,妨碍+阻碍物
impel,推进+驱使
impending,行将发生的+逼近的
impenetrable,不能穿透的+不可理解的
impenitent,不悔悟的
imperative,急需的
imperial,帝王的+至尊的
imperious,傲慢的+专横的
impermanent,暂时的
impermeability,不能渗透
impermeable,不可渗透的+透不过的
impersonate,模仿+扮演
impertinence,无礼+粗鲁
imperturbable,冷静的+沉着的
impervious,不能渗透的+不为所动的
impetuous,冲动的+鲁莽的
impetus,推动力+刺激
impinge,侵犯+撞击
implant,注入+灌输
implausible,难以置信的
implement,工具+器具+实现+实施
implicate,牵连(于罪行中)
implication,暗示
implicit,含蓄的+不言而喻的
implode,内爆+剧减
implore,哀求+恳求
impolitic,不智的+失策的
imponderable,(重量等)无法衡量的
import,进口+输入+意义
importune,强求+不断请求
impose,征税+强加
imposing,壮丽的+雄伟的
impostor,冒充者+骗子
imposture,冒充
impoverish,使成赤贫
imprecise,不精确的+不严密的
impregnable,攻不破的+征服不了的
impresario,(剧院或乐团等)经理人+主办者
impressed,被打动的+被感动的
impression,印象+感想+盖印+压痕
impressionable,易受影响的
imprint,盖印+刻印
impromptu,即席的+即兴的
improvident,无远见的+不节俭的
improvise,即席而作
improvised,临时准备的+即席而作的
imprudent,轻率的+不智的
impudent,鲁莽的+无礼的
impugn,指责+对…表示怀疑
impuissance,无力+虚弱
impulse,冲动+刺激
impulsive,易冲动的
impunity,免除惩罚
inadvertence,漫不经心
inadvertently,ad不小心地+非故意地
inalienable,不可剥夺的
inane,无意义的+空洞的
inanimate,无生命的
inappreciable,微不足道的
inaugural,就职的+开幕的
inaugurate,举行就职典礼+开创
inborn,天生的+天赋的
incandescence,白炽+炽热发光
incantation,咒语
incarcerate,下狱+监禁
incarnate,具有肉体的+化身的
incendiary,放火的+纵火的
incense,香+香味+激怒
incentive,刺激+鼓励+刺激因素
inception,开端+开始+取得学位
incessant,无间断的+连续的
inch,慢慢前进+慢慢移动
inchoate,刚开始的+未发展的
incidence,事情发生+发生率
incinerate,焚化+毁弃
incipient,初期的+刚出现的
incise,切+切割
incision,切口+切割
incisive,一针见血的
incite,激发+刺激
inclement,(天气)严酷的+严厉的
inclusive,包含一切的+范围广的
incogitant,无思想的+考虑不周的
incommensurate,不成比例的+不相称的
incompatible,不能和谐共存的
incompetent,无能力的+不能胜任的
incongruity,不协调+不相称
inconsequential,不重要的+微不足道的
inconstancy,(指人)反复无常
incontrovertible,无可辩驳的
incorporate,合并+并入
incorrigibility,无可救药
incorrigible,积习难改的+不可救药的
incorruptible,(道德上)不受腐蚀的
incredulity,怀疑+不相信
increment,增值+增加
incriminate,连累+牵连
incubate,孵化
incubation,孵卵期+潜伏期
incubator,孵卵器+早产婴儿保育箱
incubus,恶梦+梦魇般的精神压力+负担
inculcate,灌输+谆谆教诲
inculpate,连累+控告+归咎于
incumbent,在职者+现任者+义不容辞的
incur,招惹
indebted,感激的+感恩的
indecipherable,无法破译的
indecisive,非决定性的+迟疑不决的
indefatigable,不知疲倦的
indelible,擦拭不掉的+不可磨灭的
indemnify,赔偿+偿付
indemnity,赔偿+保证
indent,切割成锯齿状
indenture,契约+合同
indeterminate,不确定的+不明确的
indicate,显示+指出+象征
indicative,暗示的
indices,指数
indict,控诉+起诉
indifferent,不感兴趣的+漠不关心的
indigence,贫穷
indigenous,土产的+本地的
indigent,贫穷的+贫困的
indignant,愤慨的+愤愤不平的
indignation,愤慨
indignity,侮辱+轻蔑+侮辱性的言行
indispensability,不可缺少
individual,单独的+特有的+个人+个体
indoctrinate,教导+灌输思想
indolent,懒惰的
indubitable,不容置疑的
induce,诱导+引起
induct,使就职+使入伍
induction,就职+入伍仪式+归纳
indulge,放纵+满足
indurate,使坚硬+使习惯于
industrious,勤劳的+勤勉的
ineffable,妙不可言的
ineffectual,无效的+徒劳无益的
inelasticity,无弹性+无伸缩性
ineluctable,不能逃避的
inept,无能的+不适当的
ineptitude,无能+不称职
